,Year,Season,City,Sport,Player_Count
0,1896,Summer,Athina,Athletics,106
1,1896,Summer,Athina,Cycling,41
2,1896,Summer,Athina,Fencing,15
3,1896,Summer,Athina,Gymnastics,97
4,1896,Summer,Athina,Shooting,65
5,1896,Summer,Athina,Swimming,18
6,1896,Summer,Athina,Tennis,23
7,1896,Summer,Athina,Weightlifting,10
8,1896,Summer,Athina,Wrestling,5
9,1900,Summer,Paris,Archery,32
10,1900,Summer,Paris,Athletics,234
11,1900,Summer,Paris,Basque Pelota,2
12,1900,Summer,Paris,Cricket,24
13,1900,Summer,Paris,Croquet,19
14,1900,Summer,Paris,Cycling,92
15,1900,Summer,Paris,Equestrianism,79
16,1900,Summer,Paris,Fencing,317
17,1900,Summer,Paris,Football,35
18,1900,Summer,Paris,Golf,22
19,1900,Summer,Paris,Gymnastics,135
20,1900,Summer,Paris,Polo,21
21,1900,Summer,Paris,Rowing,133
22,1900,Summer,Paris,Rugby,47
23,1900,Summer,Paris,Sailing,280
24,1900,Summer,Paris,Shooting,221
25,1900,Summer,Paris,Swimming,131
26,1900,Summer,Paris,Tennis,47
27,1900,Summer,Paris,Tug-Of-War,12
28,1900,Summer,Paris,Water Polo,53
29,1904,Summer,St. Louis,Archery,70
30,1904,Summer,St. Louis,Athletics,201
31,1904,Summer,St. Louis,Boxing,24
32,1904,Summer,St. Louis,Cycling,61
33,1904,Summer,St. Louis,Diving,5
34,1904,Summer,St. Louis,Fencing,28
35,1904,Summer,St. Louis,Football,36
36,1904,Summer,St. Louis,Golf,105
37,1904,Summer,St. Louis,Gymnastics,458
38,1904,Summer,St. Louis,Lacrosse,36
39,1904,Summer,St. Louis,Roque,4
40,1904,Summer,St. Louis,Rowing,46
41,1904,Summer,St. Louis,Swimming,64
42,1904,Summer,St. Louis,Tennis,57
43,1904,Summer,St. Louis,Tug-Of-War,30
44,1904,Summer,St. Louis,Water Polo,21
45,1904,Summer,St. Louis,Weightlifting,7
46,1904,Summer,St. Louis,Wrestling,48
47,1906,Summer,Athina,Athletics,470
48,1906,Summer,Athina,Cycling,138
49,1906,Summer,Athina,Diving,24
50,1906,Summer,Athina,Fencing,161
51,1906,Summer,Athina,Football,45
52,1906,Summer,Athina,Gymnastics,156
53,1906,Summer,Athina,Rowing,200
54,1906,Summer,Athina,Shooting,320
55,1906,Summer,Athina,Swimming,78
56,1906,Summer,Athina,Tennis,48
57,1906,Summer,Athina,Tug-Of-War,32
58,1906,Summer,Athina,Weightlifting,22
59,1906,Summer,Athina,Wrestling,39
60,1908,Summer,London,Archery,77
61,1908,Summer,London,Athletics,778
62,1908,Summer,London,Boxing,42
63,1908,Summer,London,Cycling,269
64,1908,Summer,London,Diving,47
65,1908,Summer,London,Fencing,240
66,1908,Summer,London,Figure Skating,23
67,1908,Summer,London,Football,72
68,1908,Summer,London,Gymnastics,349
69,1908,Summer,London,Hockey,68
70,1908,Summer,London,Jeu De Paume,11
71,1908,Summer,London,Lacrosse,24
72,1908,Summer,London,Motorboating,17
73,1908,Summer,London,Polo,12
74,1908,Summer,London,Racquets,12
75,1908,Summer,London,Rowing,87
76,1908,Summer,London,Rugby,30
77,1908,Summer,London,Sailing,64
78,1908,Summer,London,Shooting,444
79,1908,Summer,London,Swimming,150
80,1908,Summer,London,Tennis,84
81,1908,Summer,London,Tug-Of-War,40
82,1908,Summer,London,Water Polo,28
83,1908,Summer,London,Wrestling,133
84,1912,Summer,Stockholm,Art Competitions,33
85,1912,Summer,Stockholm,Athletics,962
86,1912,Summer,Stockholm,Cycling,242
87,1912,Summer,Stockholm,Diving,86
88,1912,Summer,Stockholm,Equestrianism,128
89,1912,Summer,Stockholm,Fencing,379
90,1912,Summer,Stockholm,Football,163
91,1912,Summer,Stockholm,Gymnastics,310
92,1912,Summer,Stockholm,Modern Pentathlon,32
93,1912,Summer,Stockholm,Rowing,197
94,1912,Summer,Stockholm,Sailing,109
95,1912,Summer,Stockholm,Shooting,794
96,1912,Summer,Stockholm,Swimming,201
97,1912,Summer,Stockholm,Tennis,173
98,1912,Summer,Stockholm,Tug-Of-War,16
99,1912,Summer,Stockholm,Water Polo,45
100,1912,Summer,Stockholm,Wrestling,170
101,1920,Summer,Antwerpen,Archery,86
102,1920,Summer,Antwerpen,Art Competitions,11
103,1920,Summer,Antwerpen,Athletics,849
104,1920,Summer,Antwerpen,Boxing,116
105,1920,Summer,Antwerpen,Cycling,212
106,1920,Summer,Antwerpen,Diving,70
107,1920,Summer,Antwerpen,Equestrianism,132
108,1920,Summer,Antwerpen,Fencing,350
109,1920,Summer,Antwerpen,Figure Skating,31
110,1920,Summer,Antwerpen,Football,190
111,1920,Summer,Antwerpen,Gymnastics,263
112,1920,Summer,Antwerpen,Hockey,51
113,1920,Summer,Antwerpen,Ice Hockey,60
114,1920,Summer,Antwerpen,Modern Pentathlon,23
115,1920,Summer,Antwerpen,Polo,17
116,1920,Summer,Antwerpen,Rowing,144
117,1920,Summer,Antwerpen,Rugby,31
118,1920,Summer,Antwerpen,Sailing,101
119,1920,Summer,Antwerpen,Shooting,838
120,1920,Summer,Antwerpen,Swimming,209
121,1920,Summer,Antwerpen,Tennis,153
122,1920,Summer,Antwerpen,Tug-Of-War,40
123,1920,Summer,Antwerpen,Water Polo,101
124,1920,Summer,Antwerpen,Weightlifting,53
125,1920,Summer,Antwerpen,Wrestling,161
126,1924,Summer,Paris,Art Competitions,318
127,1924,Summer,Paris,Athletics,1003
128,1924,Summer,Paris,Boxing,181
129,1924,Summer,Paris,Cycling,249
130,1924,Summer,Paris,Diving,90
131,1924,Summer,Paris,Equestrianism,194
132,1924,Summer,Paris,Fencing,424
133,1924,Summer,Paris,Football,279
134,1924,Summer,Paris,Gymnastics,638
135,1924,Summer,Paris,Modern Pentathlon,38
136,1924,Summer,Paris,Polo,24
137,1924,Summer,Paris,Rowing,196
138,1924,Summer,Paris,Rugby,54
139,1924,Summer,Paris,Sailing,69
140,1924,Summer,Paris,Shooting,508
141,1924,Summer,Paris,Swimming,263
142,1924,Summer,Paris,Tennis,253
143,1924,Summer,Paris,Water Polo,101
144,1924,Summer,Paris,Weightlifting,107
145,1924,Summer,Paris,Wrestling,244
156,1928,Summer,Amsterdam,Art Competitions,808
157,1928,Summer,Amsterdam,Athletics,992
158,1928,Summer,Amsterdam,Boxing,144
159,1928,Summer,Amsterdam,Cycling,227
160,1928,Summer,Amsterdam,Diving,74
161,1928,Summer,Amsterdam,Equestrianism,232
162,1928,Summer,Amsterdam,Fencing,430
163,1928,Summer,Amsterdam,Football,219
164,1928,Summer,Amsterdam,Gymnastics,664
165,1928,Summer,Amsterdam,Hockey,137
166,1928,Summer,Amsterdam,Modern Pentathlon,37
167,1928,Summer,Amsterdam,Rowing,247
168,1928,Summer,Amsterdam,Sailing,128
169,1928,Summer,Amsterdam,Swimming,278
170,1928,Summer,Amsterdam,Water Polo,112
171,1928,Summer,Amsterdam,Weightlifting,94
172,1928,Summer,Amsterdam,Wrestling,169
181,1932,Summer,Los Angeles,Alpinism,2
182,1932,Summer,Los Angeles,Art Competitions,1124
183,1932,Summer,Los Angeles,Athletics,522
184,1932,Summer,Los Angeles,Boxing,85
185,1932,Summer,Los Angeles,Cycling,109
186,1932,Summer,Los Angeles,Diving,36
187,1932,Summer,Los Angeles,Equestrianism,65
188,1932,Summer,Los Angeles,Fencing,192
189,1932,Summer,Los Angeles,Gymnastics,147
190,1932,Summer,Los Angeles,Hockey,40
191,1932,Summer,Los Angeles,Modern Pentathlon,25
192,1932,Summer,Los Angeles,Rowing,166
193,1932,Summer,Los Angeles,Sailing,57
194,1932,Summer,Los Angeles,Shooting,44
195,1932,Summer,Los Angeles,Swimming,195
196,1932,Summer,Los Angeles,Water Polo,41
197,1932,Summer,Los Angeles,Weightlifting,29
198,1932,Summer,Los Angeles,Wrestling,90
206,1936,Summer,Berlin,Aeronautics,1
207,1936,Summer,Berlin,Alpinism,2
208,1936,Summer,Berlin,Art Competitions,813
209,1936,Summer,Berlin,Athletics,1007
210,1936,Summer,Berlin,Basketball,199
211,1936,Summer,Berlin,Boxing,179
212,1936,Summer,Berlin,Canoeing,143
213,1936,Summer,Berlin,Cycling,301
214,1936,Summer,Berlin,Diving,88
215,1936,Summer,Berlin,Equestrianism,256
216,1936,Summer,Berlin,Fencing,556
217,1936,Summer,Berlin,Football,201
218,1936,Summer,Berlin,Gymnastics,947
219,1936,Summer,Berlin,Handball,105
220,1936,Summer,Berlin,Hockey,167
221,1936,Summer,Berlin,Modern Pentathlon,42
222,1936,Summer,Berlin,Polo,21
223,1936,Summer,Berlin,Rowing,348
224,1936,Summer,Berlin,Sailing,172
225,1936,Summer,Berlin,Shooting,162
226,1936,Summer,Berlin,Swimming,364
227,1936,Summer,Berlin,Water Polo,142
228,1936,Summer,Berlin,Weightlifting,80
229,1936,Summer,Berlin,Wrestling,210
238,1948,Summer,London,Art Competitions,471
239,1948,Summer,London,Athletics,1051
240,1948,Summer,London,Basketball,287
241,1948,Summer,London,Boxing,205
242,1948,Summer,London,Canoeing,139
243,1948,Summer,London,Cycling,320
244,1948,Summer,London,Diving,84
245,1948,Summer,London,Equestrianism,207
246,1948,Summer,London,Fencing,508
247,1948,Summer,London,Football,218
248,1948,Summer,London,Gymnastics,1060
249,1948,Summer,London,Hockey,187
250,1948,Summer,London,Modern Pentathlon,45
251,1948,Summer,London,Rowing,318
252,1948,Summer,London,Sailing,186
253,1948,Summer,London,Shooting,216
254,1948,Summer,London,Swimming,398
255,1948,Summer,London,Water Polo,156
256,1948,Summer,London,Weightlifting,120
257,1948,Summer,London,Wrestling,229
267,1952,Summer,Helsinki,Athletics,1344
268,1952,Summer,Helsinki,Basketball,294
269,1952,Summer,Helsinki,Boxing,249
270,1952,Summer,Helsinki,Canoeing,184
271,1952,Summer,Helsinki,Cycling,389
272,1952,Summer,Helsinki,Diving,97
273,1952,Summer,Helsinki,Equestrianism,263
274,1952,Summer,Helsinki,Fencing,509
275,1952,Summer,Helsinki,Football,294
276,1952,Summer,Helsinki,Gymnastics,2391
277,1952,Summer,Helsinki,Hockey,157
278,1952,Summer,Helsinki,Modern Pentathlon,99
279,1952,Summer,Helsinki,Rowing,406
280,1952,Summer,Helsinki,Sailing,227
281,1952,Summer,Helsinki,Shooting,289
282,1952,Summer,Helsinki,Swimming,483
283,1952,Summer,Helsinki,Water Polo,191
284,1952,Summer,Helsinki,Weightlifting,142
285,1952,Summer,Helsinki,Wrestling,262
294,1956,Summer,Melbourne,Athletics,1013
295,1956,Summer,Melbourne,Basketball,169
296,1956,Summer,Melbourne,Boxing,161
297,1956,Summer,Melbourne,Canoeing,146
298,1956,Summer,Melbourne,Cycling,292
299,1956,Summer,Melbourne,Diving,82
300,1956,Summer,Melbourne,Fencing,278
301,1956,Summer,Melbourne,Football,143
302,1956,Summer,Melbourne,Gymnastics,913
303,1956,Summer,Melbourne,Hockey,173
304,1956,Summer,Melbourne,Modern Pentathlon,76
305,1956,Summer,Melbourne,Rowing,258
306,1956,Summer,Melbourne,Sailing,154
307,1956,Summer,Melbourne,Shooting,219
308,1956,Summer,Melbourne,Swimming,356
309,1956,Summer,Melbourne,Water Polo,96
310,1956,Summer,Melbourne,Weightlifting,105
311,1956,Summer,Melbourne,Wrestling,195
312,1956,Summer,Stockholm,Equestrianism,298
321,1960,Summer,Roma,Athletics,1312
322,1960,Summer,Roma,Basketball,192
323,1960,Summer,Roma,Boxing,281
324,1960,Summer,Roma,Canoeing,211
325,1960,Summer,Roma,Cycling,423
326,1960,Summer,Roma,Diving,96
327,1960,Summer,Roma,Equestrianism,276
328,1960,Summer,Roma,Fencing,601
329,1960,Summer,Roma,Football,235
330,1960,Summer,Roma,Gymnastics,1746
331,1960,Summer,Roma,Hockey,236
332,1960,Summer,Roma,Modern Pentathlon,111
333,1960,Summer,Roma,Rowing,431
334,1960,Summer,Roma,Sailing,290
335,1960,Summer,Roma,Shooting,389
336,1960,Summer,Roma,Swimming,630
337,1960,Summer,Roma,Water Polo,150
338,1960,Summer,Roma,Weightlifting,172
339,1960,Summer,Roma,Wrestling,337
348,1964,Summer,Tokyo,Athletics,1335
349,1964,Summer,Tokyo,Basketball,189
350,1964,Summer,Tokyo,Boxing,269
351,1964,Summer,Tokyo,Canoeing,167
352,1964,Summer,Tokyo,Cycling,451
353,1964,Summer,Tokyo,Diving,102
354,1964,Summer,Tokyo,Equestrianism,224
355,1964,Summer,Tokyo,Fencing,481
356,1964,Summer,Tokyo,Football,214
357,1964,Summer,Tokyo,Gymnastics,1484
358,1964,Summer,Tokyo,Hockey,226
359,1964,Summer,Tokyo,Judo,72
360,1964,Summer,Tokyo,Modern Pentathlon,70
361,1964,Summer,Tokyo,Rowing,378
362,1964,Summer,Tokyo,Sailing,225
363,1964,Summer,Tokyo,Shooting,312
364,1964,Summer,Tokyo,Swimming,736
365,1964,Summer,Tokyo,Volleyball,179
366,1964,Summer,Tokyo,Water Polo,137
367,1964,Summer,Tokyo,Weightlifting,149
368,1964,Summer,Tokyo,Wrestling,302
379,1968,Summer,Mexico City,Athletics,1345
380,1968,Summer,Mexico City,Basketball,191
381,1968,Summer,Mexico City,Boxing,307
382,1968,Summer,Mexico City,Canoeing,203
383,1968,Summer,Mexico City,Cycling,483
384,1968,Summer,Mexico City,Diving,109
385,1968,Summer,Mexico City,Equestrianism,233
386,1968,Summer,Mexico City,Fencing,490
387,1968,Summer,Mexico City,Football,273
388,1968,Summer,Mexico City,Gymnastics,1496
389,1968,Summer,Mexico City,Hockey,253
390,1968,Summer,Mexico City,Modern Pentathlon,93
391,1968,Summer,Mexico City,Rowing,358
392,1968,Summer,Mexico City,Sailing,252
393,1968,Summer,Mexico City,Shooting,410
394,1968,Summer,Mexico City,Swimming,1231
395,1968,Summer,Mexico City,Volleyball,206
396,1968,Summer,Mexico City,Water Polo,162
397,1968,Summer,Mexico City,Weightlifting,160
398,1968,Summer,Mexico City,Wrestling,333
409,1972,Summer,Munich,Archery,95
410,1972,Summer,Munich,Athletics,1686
411,1972,Summer,Munich,Basketball,190
412,1972,Summer,Munich,Boxing,354
413,1972,Summer,Munich,Canoeing,359
414,1972,Summer,Munich,Cycling,526
415,1972,Summer,Munich,Diving,124
416,1972,Summer,Munich,Equestrianism,326
417,1972,Summer,Munich,Fencing,499
418,1972,Summer,Munich,Football,269
419,1972,Summer,Munich,Gymnastics,1584
420,1972,Summer,Munich,Handball,243
421,1972,Summer,Munich,Hockey,263
422,1972,Summer,Munich,Judo,166
423,1972,Summer,Munich,Modern Pentathlon,116
424,1972,Summer,Munich,Rowing,442
425,1972,Summer,Munich,Sailing,323
426,1972,Summer,Munich,Shooting,472
427,1972,Summer,Munich,Swimming,1263
428,1972,Summer,Munich,Volleyball,231
